,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
Total,50710,53512,104222,15249,12951,28200,65959,66463,132422,CENTRO / TODOS,01-01-2017,2017
0 - 4,1565,1544,3109,465,427,892,2030,1971,4001,CENTRO / TODOS,01-01-2017,2017
5 - 9,1523,1465,2988,305,283,588,1828,1748,3576,CENTRO / TODOS,01-01-2017,2017
10 - 14,1416,1380,2796,241,196,437,1657,1576,3233,CENTRO / TODOS,01-01-2017,2017
15 - 19,1338,1281,2619,330,268,598,1668,1549,3217,CENTRO / TODOS,01-01-2017,2017
20 - 24,1745,1624,3369,1063,1305,2368,2808,2929,5737,CENTRO / TODOS,01-01-2017,2017
25 - 29,3246,3417,6663,2337,2460,4797,5583,5877,11460,CENTRO / TODOS,01-01-2017,2017
30 - 34,4880,4663,9543,2778,2351,5129,7658,7014,14672,CENTRO / TODOS,01-01-2017,2017
35 - 39,5657,4990,10647,2509,1749,4258,8166,6739,14905,CENTRO / TODOS,01-01-2017,2017
40 - 44,5502,4686,10188,1794,1151,2945,7296,5837,13133,CENTRO / TODOS,01-01-2017,2017
45 - 49,4879,4056,8935,1315,861,2176,6194,4917,11111,CENTRO / TODOS,01-01-2017,2017
50 - 54,4383,4161,8544,867,612,1479,5250,4773,10023,CENTRO / TODOS,01-01-2017,2017
55 - 59,3731,3959,7690,532,454,986,4263,4413,8676,CENTRO / TODOS,01-01-2017,2017
60 - 64,2945,3301,6246,347,348,695,3292,3649,6941,CENTRO / TODOS,01-01-2017,2017
65 - 69,2334,2818,5152,171,220,391,2505,3038,5543,CENTRO / TODOS,01-01-2017,2017
70 - 74,1857,2521,4378,104,127,231,1961,2648,4609,CENTRO / TODOS,01-01-2017,2017
75 - 79,1343,2118,3461,48,61,109,1391,2179,3570,CENTRO / TODOS,01-01-2017,2017
80 - 84,1149,2248,3397,27,45,72,1176,2293,3469,CENTRO / TODOS,01-01-2017,2017
85 - 89,849,1908,2757,13,17,30,862,1925,2787,CENTRO / TODOS,01-01-2017,2017
90 - 94,285,1010,1295,2,14,16,287,1024,1311,CENTRO / TODOS,01-01-2017,2017
95 - 99,70,303,373,0,2,2,70,305,375,CENTRO / TODOS,01-01-2017,2017
100 o más,13,59,72,1,0,1,14,59,73,CENTRO / TODOS,01-01-2017,2017
Total,63950,74072,138022,6776,7539,14315,70726,81611,152337,ARGANZUELA / TODOS,01-01-2017,2017
0 - 4,3143,2868,6011,323,289,612,3466,3157,6623,ARGANZUELA / TODOS,01-01-2017,2017
5 - 9,2818,2946,5764,192,179,371,3010,3125,6135,ARGANZUELA / TODOS,01-01-2017,2017
10 - 14,2793,2760,5553,179,169,348,2972,2929,5901,ARGANZUELA / TODOS,01-01-2017,2017
15 - 19,2808,2588,5396,203,233,436,3011,2821,5832,ARGANZUELA / TODOS,01-01-2017,2017
20 - 24,2762,2717,5479,440,559,999,3202,3276,6478,ARGANZUELA / TODOS,01-01-2017,2017
25 - 29,3530,3619,7149,773,1109,1882,4303,4728,9031,ARGANZUELA / TODOS,01-01-2017,2017
30 - 34,4881,5039,9920,1093,1261,2354,5974,6300,12274,ARGANZUELA / TODOS,01-01-2017,2017
35 - 39,5733,5840,11573,1133,1101,2234,6866,6941,13807,ARGANZUELA / TODOS,01-01-2017,2017
40 - 44,5371,5815,11186,816,743,1559,6187,6558,12745,ARGANZUELA / TODOS,01-01-2017,2017
45 - 49,5175,5638,10813,614,587,1201,5789,6225,12014,ARGANZUELA / TODOS,01-01-2017,2017
50 - 54,5396,6004,11400,411,462,873,5807,6466,12273,ARGANZUELA / TODOS,01-01-2017,2017
55 - 59,4757,5824,10581,266,330,596,5023,6154,11177,ARGANZUELA / TODOS,01-01-2017,2017
60 - 64,4000,4984,8984,159,231,390,4159,5215,9374,ARGANZUELA / TODOS,01-01-2017,2017
65 - 69,3313,4251,7564,72,141,213,3385,4392,7777,ARGANZUELA / TODOS,01-01-2017,2017
70 - 74,2492,3424,5916,50,67,117,2542,3491,6033,ARGANZUELA / TODOS,01-01-2017,2017
75 - 79,1754,2761,4515,23,31,54,1777,2792,4569,ARGANZUELA / TODOS,01-01-2017,2017
80 - 84,1623,3021,4644,15,26,41,1638,3047,4685,ARGANZUELA / TODOS,01-01-2017,2017
85 - 89,1064,2300,3364,7,11,18,1071,2311,3382,ARGANZUELA / TODOS,01-01-2017,2017
90 - 94,437,1216,1653,4,7,11,441,1223,1664,ARGANZUELA / TODOS,01-01-2017,2017
95 - 99,90,401,491,2,3,5,92,404,496,ARGANZUELA / TODOS,01-01-2017,2017
100 o más,10,56,66,1,0,1,11,56,67,ARGANZUELA / TODOS,01-01-2017,2017
Total,50423,60368,110791,3382,4671,8053,53805,65039,118844,RETIRO / TODOS,01-01-2017,2017
0 - 4,2325,2273,4598,134,143,277,2459,2416,4875,RETIRO / TODOS,01-01-2017,2017
5 - 9,2209,2176,4385,115,119,234,2324,2295,4619,RETIRO / TODOS,01-01-2017,2017
10 - 14,2156,2106,4262,85,82,167,2241,2188,4429,RETIRO / TODOS,01-01-2017,2017
15 - 19,2125,2056,4181,93,103,196,2218,2159,4377,RETIRO / TODOS,01-01-2017,2017
20 - 24,2274,2286,4560,220,332,552,2494,2618,5112,RETIRO / TODOS,01-01-2017,2017
25 - 29,2713,2741,5454,443,722,1165,3156,3463,6619,RETIRO / TODOS,01-01-2017,2017
30 - 34,3309,3428,6737,505,730,1235,3814,4158,7972,RETIRO / TODOS,01-01-2017,2017
35 - 39,3787,3873,7660,473,605,1078,4260,4478,8738,RETIRO / TODOS,01-01-2017,2017
40 - 44,4003,4122,8125,385,467,852,4388,4589,8977,RETIRO / TODOS,01-01-2017,2017
45 - 49,3571,3914,7485,307,400,707,3878,4314,8192,RETIRO / TODOS,01-01-2017,2017
50 - 54,3722,4240,7962,208,305,513,3930,4545,8475,RETIRO / TODOS,01-01-2017,2017
55 - 59,3478,4421,7899,144,234,378,3622,4655,8277,RETIRO / TODOS,01-01-2017,2017
60 - 64,3284,4521,7805,80,160,240,3364,4681,8045,RETIRO / TODOS,01-01-2017,2017
65 - 69,3181,4315,7496,56,108,164,3237,4423,7660,RETIRO / TODOS,01-01-2017,2017
70 - 74,2824,3842,6666,52,68,120,2876,3910,6786,RETIRO / TODOS,01-01-2017,2017
75 - 79,2026,3033,5059,43,48,91,2069,3081,5150,RETIRO / TODOS,01-01-2017,2017
80 - 84,1769,2930,4699,23,19,42,1792,2949,4741,RETIRO / TODOS,01-01-2017,2017
85 - 89,1078,2365,3443,10,13,23,1088,2378,3466,RETIRO / TODOS,01-01-2017,2017
90 - 94,485,1263,1748,6,10,16,491,1273,1764,RETIRO / TODOS,01-01-2017,2017
95 - 99,97,385,482,0,2,2,97,387,484,RETIRO / TODOS,01-01-2017,2017
100 o más,7,78,85,0,1,1,7,79,86,RETIRO / TODOS,01-01-2017,2017
Total,56200,70898,127098,7239,9912,17151,63439,80810,144249,SALAMANCA / TODOS,01-01-2017,2017
0 - 4,2499,2527,5026,300,290,590,2799,2817,5616,SALAMANCA / TODOS,01-01-2017,2017
5 - 9,2387,2309,4696,180,163,343,2567,2472,5039,SALAMANCA / TODOS,01-01-2017,2017
10 - 14,2265,2284,4549,156,163,319,2421,2447,4868,SALAMANCA / TODOS,01-01-2017,2017
15 - 19,2308,2301,4609,247,236,483,2555,2537,5092,SALAMANCA / TODOS,01-01-2017,2017
20 - 24,2625,2609,5234,614,841,1455,3239,3450,6689,SALAMANCA / TODOS,01-01-2017,2017
25 - 29,3467,3868,7335,1185,1990,3175,4652,5858,10510,SALAMANCA / TODOS,01-01-2017,2017
30 - 34,4120,4538,8658,1285,1706,2991,5405,6244,11649,SALAMANCA / TODOS,01-01-2017,2017
35 - 39,4404,4625,9029,913,1144,2057,5317,5769,11086,SALAMANCA / TODOS,01-01-2017,2017
40 - 44,4176,4684,8860,654,844,1498,4830,5528,10358,SALAMANCA / TODOS,01-01-2017,2017
45 - 49,3899,4593,8492,471,680,1151,4370,5273,9643,SALAMANCA / TODOS,01-01-2017,2017
50 - 54,4231,5158,9389,404,562,966,4635,5720,10355,SALAMANCA / TODOS,01-01-2017,2017
55 - 59,3994,5065,9059,270,436,706,4264,5501,9765,SALAMANCA / TODOS,01-01-2017,2017
60 - 64,3572,4732,8304,184,353,537,3756,5085,8841,SALAMANCA / TODOS,01-01-2017,2017
65 - 69,3272,4608,7880,125,219,344,3397,4827,8224,SALAMANCA / TODOS,01-01-2017,2017
70 - 74,2863,4241,7104,95,118,213,2958,4359,7317,SALAMANCA / TODOS,01-01-2017,2017
75 - 79,2037,3524,5561,76,78,154,2113,3602,5715,SALAMANCA / TODOS,01-01-2017,2017
80 - 84,1977,3859,5836,46,41,87,2023,3900,5923,SALAMANCA / TODOS,01-01-2017,2017
85 - 89,1376,2987,4363,23,23,46,1399,3010,4409,SALAMANCA / TODOS,01-01-2017,2017
90 - 94,562,1744,2306,8,12,20,570,1756,2326,SALAMANCA / TODOS,01-01-2017,2017
95 - 99,135,520,655,3,9,12,138,529,667,SALAMANCA / TODOS,01-01-2017,2017
100 o más,31,122,153,0,4,4,31,126,157,SALAMANCA / TODOS,01-01-2017,2017
Total,59449,71600,131049,5125,7642,12767,64574,79242,143816,CHAMARTIN / TODOS,01-01-2017,2017
0 - 4,3131,2999,6130,254,232,486,3385,3231,6616,CHAMARTIN / TODOS,01-01-2017,2017
5 - 9,2967,2965,5932,166,158,324,3133,3123,6256,CHAMARTIN / TODOS,01-01-2017,2017
10 - 14,2727,2673,5400,141,144,285,2868,2817,5685,CHAMARTIN / TODOS,01-01-2017,2017
15 - 19,2614,2587,5201,157,212,369,2771,2799,5570,CHAMARTIN / TODOS,01-01-2017,2017
20 - 24,2967,2817,5784,306,474,780,3273,3291,6564,CHAMARTIN / TODOS,01-01-2017,2017
25 - 29,3500,3491,6991,607,1096,1703,4107,4587,8694,CHAMARTIN / TODOS,01-01-2017,2017
30 - 34,4247,4360,8607,761,1237,1998,5008,5597,10605,CHAMARTIN / TODOS,01-01-2017,2017
35 - 39,4480,4722,9202,668,978,1646,5148,5700,10848,CHAMARTIN / TODOS,01-01-2017,2017
40 - 44,4491,4980,9471,549,743,1292,5040,5723,10763,CHAMARTIN / TODOS,01-01-2017,2017
45 - 49,4274,4791,9065,454,650,1104,4728,5441,10169,CHAMARTIN / TODOS,01-01-2017,2017
50 - 54,4239,5098,9337,338,537,875,4577,5635,10212,CHAMARTIN / TODOS,01-01-2017,2017
55 - 59,4007,5122,9129,231,394,625,4238,5516,9754,CHAMARTIN / TODOS,01-01-2017,2017
60 - 64,3531,4650,8181,153,265,418,3684,4915,8599,CHAMARTIN / TODOS,01-01-2017,2017
65 - 69,3278,4440,7718,95,176,271,3373,4616,7989,CHAMARTIN / TODOS,01-01-2017,2017
70 - 74,2884,4251,7135,73,127,200,2957,4378,7335,CHAMARTIN / TODOS,01-01-2017,2017
75 - 79,2132,3451,5583,80,93,173,2212,3544,5756,CHAMARTIN / TODOS,01-01-2017,2017
80 - 84,1968,3496,5464,43,58,101,2011,3554,5565,CHAMARTIN / TODOS,01-01-2017,2017
85 - 89,1283,2688,3971,30,37,67,1313,2725,4038,CHAMARTIN / TODOS,01-01-2017,2017
90 - 94,593,1502,2095,12,22,34,605,1524,2129,CHAMARTIN / TODOS,01-01-2017,2017
95 - 99,119,428,547,5,9,14,124,437,561,CHAMARTIN / TODOS,01-01-2017,2017
100 o más,17,89,106,2,0,2,19,89,108,CHAMARTIN / TODOS,01-01-2017,2017
Total,58177,69302,127479,11689,15054,26743,69866,84356,154222,TETUAN / TODOS,01-01-2017,2017
0 - 4,2582,2477,5059,605,593,1198,3187,3070,6257,TETUAN / TODOS,01-01-2017,2017
5 - 9,2613,2372,4985,444,372,816,3057,2744,5801,TETUAN / TODOS,01-01-2017,2017
10 - 14,2344,2300,4644,385,359,744,2729,2659,5388,TETUAN / TODOS,01-01-2017,2017
15 - 19,2393,2298,4691,476,540,1016,2869,2838,5707,TETUAN / TODOS,01-01-2017,2017
20 - 24,2734,2562,5296,889,1271,2160,3623,3833,7456,TETUAN / TODOS,01-01-2017,2017
25 - 29,3827,3982,7809,1408,2134,3542,5235,6116,11351,TETUAN / TODOS,01-01-2017,2017
30 - 34,4895,4825,9720,1741,2582,4323,6636,7407,14043,TETUAN / TODOS,01-01-2017,2017
35 - 39,4972,4973,9945,1717,2066,3783,6689,7039,13728,TETUAN / TODOS,01-01-2017,2017
40 - 44,4699,5070,9769,1327,1503,2830,6026,6573,12599,TETUAN / TODOS,01-01-2017,2017
45 - 49,4405,4878,9283,991,1206,2197,5396,6084,11480,TETUAN / TODOS,01-01-2017,2017
50 - 54,4330,5401,9731,687,849,1536,5017,6250,11267,TETUAN / TODOS,01-01-2017,2017
55 - 59,4054,4972,9026,426,616,1042,4480,5588,10068,TETUAN / TODOS,01-01-2017,2017
60 - 64,3276,4360,7636,272,410,682,3548,4770,8318,TETUAN / TODOS,01-01-2017,2017
65 - 69,2750,3887,6637,151,230,381,2901,4117,7018,TETUAN / TODOS,01-01-2017,2017
70 - 74,2402,3631,6033,78,145,223,2480,3776,6256,TETUAN / TODOS,01-01-2017,2017
75 - 79,1909,3070,4979,44,91,135,1953,3161,5114,TETUAN / TODOS,01-01-2017,2017
80 - 84,1953,3593,5546,29,45,74,1982,3638,5620,TETUAN / TODOS,01-01-2017,2017
85 - 89,1353,2791,4144,11,31,42,1364,2822,4186,TETUAN / TODOS,01-01-2017,2017
90 - 94,568,1421,1989,6,7,13,574,1428,2002,TETUAN / TODOS,01-01-2017,2017
95 - 99,110,389,499,2,4,6,112,393,505,TETUAN / TODOS,01-01-2017,2017
100 o más,8,50,58,0,0,0,8,50,58,TETUAN / TODOS,01-01-2017,2017
Total,54268,69286,123554,6163,8226,14389,60431,77512,137943,CHAMBERI / TODOS,01-01-2017,2017
0 - 4,2361,2249,4610,231,240,471,2592,2489,5081,CHAMBERI / TODOS,01-01-2017,2017
5 - 9,2173,2170,4343,188,180,368,2361,2350,4711,CHAMBERI / TODOS,01-01-2017,2017
10 - 14,2146,2050,4196,157,148,305,2303,2198,4501,CHAMBERI / TODOS,01-01-2017,2017
15 - 19,2097,2118,4215,212,215,427,2309,2333,4642,CHAMBERI / TODOS,01-01-2017,2017
20 - 24,2528,2536,5064,483,781,1264,3011,3317,6328,CHAMBERI / TODOS,01-01-2017,2017
25 - 29,3760,4104,7864,927,1435,2362,4687,5539,10226,CHAMBERI / TODOS,01-01-2017,2017
30 - 34,4367,4877,9244,1004,1334,2338,5371,6211,11582,CHAMBERI / TODOS,01-01-2017,2017
35 - 39,4404,4595,8999,878,1005,1883,5282,5600,10882,CHAMBERI / TODOS,01-01-2017,2017
40 - 44,4211,4544,8755,599,751,1350,4810,5295,10105,CHAMBERI / TODOS,01-01-2017,2017
45 - 49,3711,4252,7963,451,580,1031,4162,4832,8994,CHAMBERI / TODOS,01-01-2017,2017
50 - 54,3772,4726,8498,371,485,856,4143,5211,9354,CHAMBERI / TODOS,01-01-2017,2017
55 - 59,3664,4889,8553,248,386,634,3912,5275,9187,CHAMBERI / TODOS,01-01-2017,2017
60 - 64,3441,4837,8278,162,289,451,3603,5126,8729,CHAMBERI / TODOS,01-01-2017,2017
65 - 69,3189,4490,7679,101,161,262,3290,4651,7941,CHAMBERI / TODOS,01-01-2017,2017
70 - 74,2778,4265,7043,65,102,167,2843,4367,7210,CHAMBERI / TODOS,01-01-2017,2017
75 - 79,1928,3375,5303,36,50,86,1964,3425,5389,CHAMBERI / TODOS,01-01-2017,2017
80 - 84,1784,3661,5445,27,35,62,1811,3696,5507,CHAMBERI / TODOS,01-01-2017,2017
85 - 89,1243,3057,4300,10,33,43,1253,3090,4343,CHAMBERI / TODOS,01-01-2017,2017
90 - 94,566,1791,2357,9,13,22,575,1804,2379,CHAMBERI / TODOS,01-01-2017,2017
95 - 99,123,557,680,2,2,4,125,559,684,CHAMBERI / TODOS,01-01-2017,2017
100 o más,22,143,165,2,1,3,24,144,168,CHAMBERI / TODOS,01-01-2017,2017
Total,104980,116443,221423,7742,10060,17802,112722,126503,239225,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
0 - 4,6886,6520,13406,506,457,963,7392,6977,14369,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
5 - 9,7080,6663,13743,402,339,741,7482,7002,14484,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
10 - 14,5434,5230,10664,315,321,636,5749,5551,11300,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
15 - 19,4662,4498,9160,311,352,663,4973,4850,9823,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
20 - 24,4621,4473,9094,523,685,1208,5144,5158,10302,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
25 - 29,5251,5005,10256,723,1129,1852,5974,6134,12108,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
30 - 34,6540,6617,13157,1013,1571,2584,7553,8188,15741,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
35 - 39,8439,8897,17336,1167,1521,2688,9606,10418,20024,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
40 - 44,9552,10072,19624,952,1069,2021,10504,11141,21645,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
45 - 49,7721,8012,15733,606,756,1362,8327,8768,17095,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
50 - 54,6761,7646,14407,432,605,1037,7193,8251,15444,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
55 - 59,6162,7412,13574,287,418,705,6449,7830,14279,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
60 - 64,5412,7105,12517,194,330,524,5606,7435,13041,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
65 - 69,5810,7473,13283,118,206,324,5928,7679,13607,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
70 - 74,5543,6720,12263,70,134,204,5613,6854,12467,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
75 - 79,3790,4860,8650,68,84,152,3858,4944,8802,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
80 - 84,2970,4402,7372,31,45,76,3001,4447,7448,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
85 - 89,1622,2909,4531,16,23,39,1638,2932,4570,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
90 - 94,601,1471,2072,6,13,19,607,1484,2091,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
95 - 99,107,382,489,1,1,2,108,383,491,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
100 o más,16,76,92,1,1,2,17,77,94,FUENCARRAL-EL PARDO / TODOS,01-01-2017,2017
Total,49109,56626,105735,4833,6742,11575,53942,63368,117310,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
0 - 4,2295,2236,4531,232,190,422,2527,2426,4953,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
5 - 9,2584,2447,5031,196,182,378,2780,2629,5409,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
10 - 14,2855,2641,5496,155,140,295,3010,2781,5791,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
15 - 19,2550,2640,5190,202,203,405,2752,2843,5595,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
20 - 24,2562,2527,5089,440,767,1207,3002,3294,6296,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
25 - 29,2539,2572,5111,608,982,1590,3147,3554,6701,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
30 - 34,2938,2903,5841,627,905,1532,3565,3808,7373,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
35 - 39,3287,3436,6723,619,835,1454,3906,4271,8177,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
40 - 44,3583,3890,7473,506,673,1179,4089,4563,8652,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
45 - 49,3684,4005,7689,405,573,978,4089,4578,8667,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
50 - 54,3939,4334,8273,305,451,756,4244,4785,9029,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
55 - 59,3536,4082,7618,210,323,533,3746,4405,8151,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
60 - 64,2892,3691,6583,134,216,350,3026,3907,6933,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
65 - 69,2770,3504,6274,76,133,209,2846,3637,6483,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
70 - 74,2383,3141,5524,53,70,123,2436,3211,5647,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
75 - 79,1729,2531,4260,33,44,77,1762,2575,4337,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
80 - 84,1565,2619,4184,17,26,43,1582,2645,4227,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
85 - 89,938,1975,2913,13,17,30,951,1992,2943,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
90 - 94,373,1077,1450,2,7,9,375,1084,1459,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
95 - 99,87,312,399,0,1,1,87,313,400,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
100 o más,20,63,83,0,4,4,20,67,87,MONCLOA-ARAVACA / TODOS,01-01-2017,2017
Total,94244,108496,202740,14660,17086,31746,108904,125582,234486,LATINA / TODOS,01-01-2017,2017
0 - 4,3666,3552,7218,846,784,1630,4512,4336,8848,LATINA / TODOS,01-01-2017,2017
5 - 9,4229,4075,8304,677,550,1227,4906,4625,9531,LATINA / TODOS,01-01-2017,2017
10 - 14,4173,4054,8227,516,509,1025,4689,4563,9252,LATINA / TODOS,01-01-2017,2017
15 - 19,4154,3903,8057,718,717,1435,4872,4620,9492,LATINA / TODOS,01-01-2017,2017
20 - 24,4234,4102,8336,1128,1531,2659,5362,5633,10995,LATINA / TODOS,01-01-2017,2017
25 - 29,4618,4621,9239,1548,2196,3744,6166,6817,12983,LATINA / TODOS,01-01-2017,2017
30 - 34,5314,5190,10504,1956,2506,4462,7270,7696,14966,LATINA / TODOS,01-01-2017,2017
35 - 39,6495,6560,13055,2077,2178,4255,8572,8738,17310,LATINA / TODOS,01-01-2017,2017
40 - 44,7414,7637,15051,1764,1713,3477,9178,9350,18528,LATINA / TODOS,01-01-2017,2017
45 - 49,7672,8117,15789,1321,1435,2756,8993,9552,18545,LATINA / TODOS,01-01-2017,2017
50 - 54,7199,8216,15415,875,1074,1949,8074,9290,17364,LATINA / TODOS,01-01-2017,2017
55 - 59,6396,7284,13680,561,868,1429,6957,8152,15109,LATINA / TODOS,01-01-2017,2017
60 - 64,5144,6149,11293,368,484,852,5512,6633,12145,LATINA / TODOS,01-01-2017,2017
65 - 69,4733,6760,11493,153,251,404,4886,7011,11897,LATINA / TODOS,01-01-2017,2017
70 - 74,5588,8483,14071,75,125,200,5663,8608,14271,LATINA / TODOS,01-01-2017,2017
75 - 79,5461,7090,12551,46,84,130,5507,7174,12681,LATINA / TODOS,01-01-2017,2017
80 - 84,4388,6318,10706,14,55,69,4402,6373,10775,LATINA / TODOS,01-01-2017,2017
85 - 89,2405,4052,6457,12,17,29,2417,4069,6486,LATINA / TODOS,01-01-2017,2017
90 - 94,787,1777,2564,5,6,11,792,1783,2575,LATINA / TODOS,01-01-2017,2017
95 - 99,148,472,620,0,2,2,148,474,622,LATINA / TODOS,01-01-2017,2017
100 o más,26,84,110,0,1,1,26,85,111,LATINA / TODOS,01-01-2017,2017
Total,94401,109512,203913,19443,21353,40796,113844,130865,244709,CARABANCHEL / TODOS,01-01-2017,2017
0 - 4,4577,4315,8892,1132,1060,2192,5709,5375,11084,CARABANCHEL / TODOS,01-01-2017,2017
5 - 9,5548,5223,10771,817,839,1656,6365,6062,12427,CARABANCHEL / TODOS,01-01-2017,2017
10 - 14,5066,4901,9967,710,708,1418,5776,5609,11385,CARABANCHEL / TODOS,01-01-2017,2017
15 - 19,4333,4248,8581,971,914,1885,5304,5162,10466,CARABANCHEL / TODOS,01-01-2017,2017
20 - 24,4584,4526,9110,1431,1736,3167,6015,6262,12277,CARABANCHEL / TODOS,01-01-2017,2017
25 - 29,4713,4611,9324,2043,2586,4629,6756,7197,13953,CARABANCHEL / TODOS,01-01-2017,2017
30 - 34,5040,5376,10416,2697,3047,5744,7737,8423,16160,CARABANCHEL / TODOS,01-01-2017,2017
35 - 39,6596,7519,14115,2807,2888,5695,9403,10407,19810,CARABANCHEL / TODOS,01-01-2017,2017
40 - 44,8634,9318,17952,2325,2273,4598,10959,11591,22550,CARABANCHEL / TODOS,01-01-2017,2017
45 - 49,8319,8736,17055,1836,1830,3666,10155,10566,20721,CARABANCHEL / TODOS,01-01-2017,2017
50 - 54,7453,8374,15827,1141,1325,2466,8594,9699,18293,CARABANCHEL / TODOS,01-01-2017,2017
55 - 59,6207,7193,13400,764,944,1708,6971,8137,15108,CARABANCHEL / TODOS,01-01-2017,2017
60 - 64,4787,5913,10700,402,570,972,5189,6483,11672,CARABANCHEL / TODOS,01-01-2017,2017
65 - 69,4345,5850,10195,191,300,491,4536,6150,10686,CARABANCHEL / TODOS,01-01-2017,2017
70 - 74,4193,6016,10209,88,149,237,4281,6165,10446,CARABANCHEL / TODOS,01-01-2017,2017
75 - 79,3601,5455,9056,48,101,149,3649,5556,9205,CARABANCHEL / TODOS,01-01-2017,2017
80 - 84,3517,5684,9201,23,46,69,3540,5730,9270,CARABANCHEL / TODOS,01-01-2017,2017
85 - 89,1995,3967,5962,9,27,36,2004,3994,5998,CARABANCHEL / TODOS,01-01-2017,2017
90 - 94,737,1758,2495,6,8,14,743,1766,2509,CARABANCHEL / TODOS,01-01-2017,2017
95 - 99,141,456,597,0,2,2,141,458,599,CARABANCHEL / TODOS,01-01-2017,2017
100 o más,15,73,88,2,0,2,17,73,90,CARABANCHEL / TODOS,01-01-2017,2017
Total,50952,58227,109179,12776,13234,26010,63728,71461,135189,USERA / TODOS,01-01-2017,2017
