,spanish_men,spanish_women,spanish_total,foreign_men,foreign_women,foreign_total,men_total,women_total,total,district,date,year
30 - 34,6446,6309,12755,3495,3567,7062,9941,9876,19817,CIUDAD LINEAL / TODOS,01-01-2009,2009
35 - 39,6560,6962,13522,2741,2596,5337,9301,9558,18859,CIUDAD LINEAL / TODOS,01-01-2009,2009
40 - 44,6875,7882,14757,1992,2022,4014,8867,9904,18771,CIUDAD LINEAL / TODOS,01-01-2009,2009
45 - 49,6568,7684,14252,1340,1579,2919,7908,9263,17171,CIUDAD LINEAL / TODOS,01-01-2009,2009
50 - 54,5749,6915,12664,797,1079,1876,6546,7994,14540,CIUDAD LINEAL / TODOS,01-01-2009,2009
55 - 59,4791,6135,10926,469,606,1075,5260,6741,12001,CIUDAD LINEAL / TODOS,01-01-2009,2009
60 - 64,5004,6558,11562,237,318,555,5241,6876,12117,CIUDAD LINEAL / TODOS,01-01-2009,2009
65 - 69,4326,6059,10385,117,200,317,4443,6259,10702,CIUDAD LINEAL / TODOS,01-01-2009,2009
70 - 74,4614,6778,11392,81,122,203,4695,6900,11595,CIUDAD LINEAL / TODOS,01-01-2009,2009
75 - 79,4608,6826,11434,50,78,128,4658,6904,11562,CIUDAD LINEAL / TODOS,01-01-2009,2009
80 - 84,2968,4927,7895,32,47,79,3000,4974,7974,CIUDAD LINEAL / TODOS,01-01-2009,2009
85 - 89,1290,2856,4146,13,33,46,1303,2889,4192,CIUDAD LINEAL / TODOS,01-01-2009,2009
90 - 94,408,1156,1564,4,10,14,412,1166,1578,CIUDAD LINEAL / TODOS,01-01-2009,2009
95 - 99,84,313,397,2,5,7,86,318,404,CIUDAD LINEAL / TODOS,01-01-2009,2009
100 o más,6,45,51,0,1,1,6,46,52,CIUDAD LINEAL / TODOS,01-01-2009,2009
No Consta,2,2,4,0,0,0,2,2,4,CIUDAD LINEAL / TODOS,01-01-2009,2009
Total,72185,78697,150882,10383,11722,22105,82568,90419,172987,HORTALEZA / TODOS,01-01-2009,2009
0 - 4,4423,4205,8628,505,467,972,4928,4672,9600,HORTALEZA / TODOS,01-01-2009,2009
5 - 9,4021,3868,7889,557,539,1096,4578,4407,8985,HORTALEZA / TODOS,01-01-2009,2009
10 - 14,3564,3311,6875,633,580,1213,4197,3891,8088,HORTALEZA / TODOS,01-01-2009,2009
15 - 19,3655,3552,7207,574,603,1177,4229,4155,8384,HORTALEZA / TODOS,01-01-2009,2009
20 - 24,3833,3620,7453,803,1067,1870,4636,4687,9323,HORTALEZA / TODOS,01-01-2009,2009
25 - 29,4573,4491,9064,1408,1748,3156,5981,6239,12220,HORTALEZA / TODOS,01-01-2009,2009
30 - 34,6295,6344,12639,1543,1750,3293,7838,8094,15932,HORTALEZA / TODOS,01-01-2009,2009
35 - 39,6156,6485,12641,1362,1473,2835,7518,7958,15476,HORTALEZA / TODOS,01-01-2009,2009
40 - 44,5887,6332,12219,1071,1142,2213,6958,7474,14432,HORTALEZA / TODOS,01-01-2009,2009
45 - 49,5662,6089,11751,780,825,1605,6442,6914,13356,HORTALEZA / TODOS,01-01-2009,2009
50 - 54,4609,5096,9705,493,581,1074,5102,5677,10779,HORTALEZA / TODOS,01-01-2009,2009
55 - 59,3941,4759,8700,272,385,657,4213,5144,9357,HORTALEZA / TODOS,01-01-2009,2009
60 - 64,4327,5220,9547,143,219,362,4470,5439,9909,HORTALEZA / TODOS,01-01-2009,2009
65 - 69,3710,4056,7766,103,148,251,3813,4204,8017,HORTALEZA / TODOS,01-01-2009,2009
70 - 74,2906,3666,6572,63,78,141,2969,3744,6713,HORTALEZA / TODOS,01-01-2009,2009
75 - 79,2483,3262,5745,40,56,96,2523,3318,5841,HORTALEZA / TODOS,01-01-2009,2009
80 - 84,1351,2228,3579,25,30,55,1376,2258,3634,HORTALEZA / TODOS,01-01-2009,2009
85 - 89,564,1335,1899,7,19,26,571,1354,1925,HORTALEZA / TODOS,01-01-2009,2009
90 - 94,178,594,772,1,5,6,179,599,778,HORTALEZA / TODOS,01-01-2009,2009
95 - 99,46,157,203,0,6,6,46,163,209,HORTALEZA / TODOS,01-01-2009,2009
100 o más,1,27,28,0,1,1,1,28,29,HORTALEZA / TODOS,01-01-2009,2009
Total,54835,59196,114031,19451,16959,36410,74286,76155,150441,VILLAVERDE / TODOS,01-01-2009,2009
0 - 4,3714,3362,7076,1010,1036,2046,4724,4398,9122,VILLAVERDE / TODOS,01-01-2009,2009
5 - 9,2913,2857,5770,752,722,1474,3665,3579,7244,VILLAVERDE / TODOS,01-01-2009,2009
10 - 14,2387,2263,4650,1035,985,2020,3422,3248,6670,VILLAVERDE / TODOS,01-01-2009,2009
15 - 19,2526,2473,4999,1110,1098,2208,3636,3571,7207,VILLAVERDE / TODOS,01-01-2009,2009
20 - 24,2775,2695,5470,1851,1855,3706,4626,4550,9176,VILLAVERDE / TODOS,01-01-2009,2009
25 - 29,3231,3123,6354,3216,2771,5987,6447,5894,12341,VILLAVERDE / TODOS,01-01-2009,2009
30 - 34,4516,4676,9192,3306,2567,5873,7822,7243,15065,VILLAVERDE / TODOS,01-01-2009,2009
35 - 39,4825,4772,9597,2684,1996,4680,7509,6768,14277,VILLAVERDE / TODOS,01-01-2009,2009
40 - 44,5001,4977,9978,1898,1455,3353,6899,6432,13331,VILLAVERDE / TODOS,01-01-2009,2009
45 - 49,4293,4252,8545,1272,1015,2287,5565,5267,10832,VILLAVERDE / TODOS,01-01-2009,2009
50 - 54,3112,3211,6323,730,589,1319,3842,3800,7642,VILLAVERDE / TODOS,01-01-2009,2009
55 - 59,2526,2848,5374,321,391,712,2847,3239,6086,VILLAVERDE / TODOS,01-01-2009,2009
60 - 64,2779,3340,6119,118,199,317,2897,3539,6436,VILLAVERDE / TODOS,01-01-2009,2009
65 - 69,2518,3248,5766,69,126,195,2587,3374,5961,VILLAVERDE / TODOS,01-01-2009,2009
70 - 74,2994,3882,6876,44,78,122,3038,3960,6998,VILLAVERDE / TODOS,01-01-2009,2009
75 - 79,2613,3437,6050,22,49,71,2635,3486,6121,VILLAVERDE / TODOS,01-01-2009,2009
80 - 84,1376,2204,3580,11,21,32,1387,2225,3612,VILLAVERDE / TODOS,01-01-2009,2009
85 - 89,561,1069,1630,2,5,7,563,1074,1637,VILLAVERDE / TODOS,01-01-2009,2009
90 - 94,143,373,516,0,1,1,143,374,517,VILLAVERDE / TODOS,01-01-2009,2009
95 - 99,28,119,147,0,0,0,28,119,147,VILLAVERDE / TODOS,01-01-2009,2009
100 o más,4,15,19,0,0,0,4,15,19,VILLAVERDE / TODOS,01-01-2009,2009
Total,32609,34521,67130,7190,6675,13865,39799,41196,80995,VILLA DE VALLECAS / TODOS,01-01-2009,2009
0 - 4,2135,1904,4039,449,421,870,2584,2325,4909,VILLA DE VALLECAS / TODOS,01-01-2009,2009
5 - 9,1865,1723,3588,373,363,736,2238,2086,4324,VILLA DE VALLECAS / TODOS,01-01-2009,2009
10 - 14,1638,1508,3146,352,372,724,1990,1880,3870,VILLA DE VALLECAS / TODOS,01-01-2009,2009
15 - 19,1829,1673,3502,390,380,770,2219,2053,4272,VILLA DE VALLECAS / TODOS,01-01-2009,2009
20 - 24,1888,1861,3749,789,782,1571,2677,2643,5320,VILLA DE VALLECAS / TODOS,01-01-2009,2009
25 - 29,2410,2621,5031,1160,1026,2186,3570,3647,7217,VILLA DE VALLECAS / TODOS,01-01-2009,2009
30 - 34,3516,3606,7122,1197,993,2190,4713,4599,9312,VILLA DE VALLECAS / TODOS,01-01-2009,2009
35 - 39,2942,2950,5892,881,745,1626,3823,3695,7518,VILLA DE VALLECAS / TODOS,01-01-2009,2009
40 - 44,2631,2703,5334,660,580,1240,3291,3283,6574,VILLA DE VALLECAS / TODOS,01-01-2009,2009
45 - 49,2506,2718,5224,412,433,845,2918,3151,6069,VILLA DE VALLECAS / TODOS,01-01-2009,2009
50 - 54,2084,2181,4265,293,271,564,2377,2452,4829,VILLA DE VALLECAS / TODOS,01-01-2009,2009
55 - 59,1739,1928,3667,131,123,254,1870,2051,3921,VILLA DE VALLECAS / TODOS,01-01-2009,2009
60 - 64,1611,1718,3329,48,67,115,1659,1785,3444,VILLA DE VALLECAS / TODOS,01-01-2009,2009
65 - 69,1150,1279,2429,30,47,77,1180,1326,2506,VILLA DE VALLECAS / TODOS,01-01-2009,2009
70 - 74,1047,1407,2454,8,29,37,1055,1436,2491,VILLA DE VALLECAS / TODOS,01-01-2009,2009
75 - 79,854,1203,2057,9,19,28,863,1222,2085,VILLA DE VALLECAS / TODOS,01-01-2009,2009
80 - 84,487,830,1317,7,18,25,494,848,1342,VILLA DE VALLECAS / TODOS,01-01-2009,2009
85 - 89,211,467,678,1,3,4,212,470,682,VILLA DE VALLECAS / TODOS,01-01-2009,2009
90 - 94,57,186,243,0,1,1,57,187,244,VILLA DE VALLECAS / TODOS,01-01-2009,2009
95 - 99,8,49,57,0,2,2,8,51,59,VILLA DE VALLECAS / TODOS,01-01-2009,2009
100 o más,1,6,7,0,0,0,1,6,7,VILLA DE VALLECAS / TODOS,01-01-2009,2009
Total,28794,29743,58537,6080,5662,11742,34874,35405,70279,VICALVARO / TODOS,01-01-2009,2009
0 - 4,2328,2252,4580,351,340,691,2679,2592,5271,VICALVARO / TODOS,01-01-2009,2009
5 - 9,1816,1784,3600,260,215,475,2076,1999,4075,VICALVARO / TODOS,01-01-2009,2009
10 - 14,1469,1423,2892,284,266,550,1753,1689,3442,VICALVARO / TODOS,01-01-2009,2009
15 - 19,1318,1219,2537,334,321,655,1652,1540,3192,VICALVARO / TODOS,01-01-2009,2009
20 - 24,1263,1146,2409,616,655,1271,1879,1801,3680,VICALVARO / TODOS,01-01-2009,2009
25 - 29,1496,1460,2956,987,1005,1992,2483,2465,4948,VICALVARO / TODOS,01-01-2009,2009
30 - 34,2709,2934,5643,1091,844,1935,3800,3778,7578,VICALVARO / TODOS,01-01-2009,2009
35 - 39,3463,3335,6798,804,620,1424,4267,3955,8222,VICALVARO / TODOS,01-01-2009,2009
40 - 44,3071,2975,6046,565,494,1059,3636,3469,7105,VICALVARO / TODOS,01-01-2009,2009
45 - 49,2349,2241,4590,358,343,701,2707,2584,5291,VICALVARO / TODOS,01-01-2009,2009
50 - 54,1470,1534,3004,219,263,482,1689,1797,3486,VICALVARO / TODOS,01-01-2009,2009
55 - 59,1072,1189,2261,105,115,220,1177,1304,2481,VICALVARO / TODOS,01-01-2009,2009
60 - 64,1080,1385,2465,53,76,129,1133,1461,2594,VICALVARO / TODOS,01-01-2009,2009
65 - 69,1226,1424,2650,16,45,61,1242,1469,2711,VICALVARO / TODOS,01-01-2009,2009
70 - 74,1196,1340,2536,20,30,50,1216,1370,2586,VICALVARO / TODOS,01-01-2009,2009
75 - 79,837,967,1804,8,18,26,845,985,1830,VICALVARO / TODOS,01-01-2009,2009
80 - 84,405,641,1046,8,5,13,413,646,1059,VICALVARO / TODOS,01-01-2009,2009
85 - 89,168,323,491,0,5,5,168,328,496,VICALVARO / TODOS,01-01-2009,2009
90 - 94,43,143,186,1,1,2,44,144,188,VICALVARO / TODOS,01-01-2009,2009
95 - 99,14,25,39,0,1,1,14,26,40,VICALVARO / TODOS,01-01-2009,2009
100 o más,0,3,3,0,0,0,0,3,3,VICALVARO / TODOS,01-01-2009,2009
No Consta,1,0,1,0,0,0,1,0,1,VICALVARO / TODOS,01-01-2009,2009
Total,64405,70530,134935,11717,11356,23073,76122,81886,158008,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
0 - 4,4202,3965,8167,427,496,923,4629,4461,9090,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
5 - 9,4001,3716,7717,448,436,884,4449,4152,8601,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
10 - 14,2960,2833,5793,639,595,1234,3599,3428,7027,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
15 - 19,3017,2915,5932,585,687,1272,3602,3602,7204,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
20 - 24,3134,2944,6078,1139,1186,2325,4273,4130,8403,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
25 - 29,3551,3376,6927,1993,1891,3884,5544,5267,10811,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
30 - 34,4721,4874,9595,1945,1841,3786,6666,6715,13381,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
35 - 39,6041,6282,12323,1639,1350,2989,7680,7632,15312,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
40 - 44,6502,6664,13166,1169,976,2145,7671,7640,15311,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
45 - 49,5721,5710,11431,776,784,1560,6497,6494,12991,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
50 - 54,4182,4307,8489,448,463,911,4630,4770,9400,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
55 - 59,3083,3443,6526,274,310,584,3357,3753,7110,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
60 - 64,2859,3241,6100,133,160,293,2992,3401,6393,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
65 - 69,2289,2939,5228,42,80,122,2331,3019,5350,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
70 - 74,2677,4001,6678,31,53,84,2708,4054,6762,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
75 - 79,2841,4136,6977,17,35,52,2858,4171,7029,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
80 - 84,1732,3026,4758,9,7,16,1741,3033,4774,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
85 - 89,688,1541,2229,2,4,6,690,1545,2235,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
90 - 94,156,450,606,1,2,3,157,452,609,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
95 - 99,45,142,187,0,0,0,45,142,187,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
100 o más,3,24,27,0,0,0,3,24,27,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
No Consta,0,1,1,0,0,0,0,1,1,SAN BLAS-CANILLEJAS / TODOS,01-01-2009,2009
Total,19350,19954,39304,2812,3062,5874,22162,23016,45178,BARAJAS / TODOS,01-01-2009,2009
0 - 4,1349,1228,2577,147,123,270,1496,1351,2847,BARAJAS / TODOS,01-01-2009,2009
5 - 9,1172,1109,2281,137,95,232,1309,1204,2513,BARAJAS / TODOS,01-01-2009,2009
10 - 14,939,811,1750,124,122,246,1063,933,1996,BARAJAS / TODOS,01-01-2009,2009
15 - 19,837,806,1643,142,137,279,979,943,1922,BARAJAS / TODOS,01-01-2009,2009
20 - 24,1008,957,1965,215,311,526,1223,1268,2491,BARAJAS / TODOS,01-01-2009,2009
25 - 29,1379,1230,2609,368,484,852,1747,1714,3461,BARAJAS / TODOS,01-01-2009,2009
30 - 34,1735,1690,3425,450,527,977,2185,2217,4402,BARAJAS / TODOS,01-01-2009,2009
35 - 39,1834,1926,3760,408,380,788,2242,2306,4548,BARAJAS / TODOS,01-01-2009,2009
40 - 44,1661,1688,3349,318,305,623,1979,1993,3972,BARAJAS / TODOS,01-01-2009,2009
45 - 49,1421,1478,2899,211,242,453,1632,1720,3352,BARAJAS / TODOS,01-01-2009,2009
50 - 54,1199,1209,2408,123,122,245,1322,1331,2653,BARAJAS / TODOS,01-01-2009,2009
55 - 59,1104,1395,2499,78,97,175,1182,1492,2674,BARAJAS / TODOS,01-01-2009,2009
60 - 64,1223,1409,2632,44,48,92,1267,1457,2724,BARAJAS / TODOS,01-01-2009,2009
65 - 69,919,958,1877,22,30,52,941,988,1929,BARAJAS / TODOS,01-01-2009,2009
70 - 74,665,651,1316,14,13,27,679,664,1343,BARAJAS / TODOS,01-01-2009,2009
75 - 79,434,553,987,5,11,16,439,564,1003,BARAJAS / TODOS,01-01-2009,2009
80 - 84,253,423,676,2,11,13,255,434,689,BARAJAS / TODOS,01-01-2009,2009
85 - 89,157,287,444,3,4,7,160,291,451,BARAJAS / TODOS,01-01-2009,2009
90 - 94,50,111,161,1,0,1,51,111,162,BARAJAS / TODOS,01-01-2009,2009
95 - 99,8,26,34,0,0,0,8,26,34,BARAJAS / TODOS,01-01-2009,2009
100 o más,3,9,12,0,0,0,3,9,12,BARAJAS / TODOS,01-01-2009,2009
Total,49518,55497,105015,22239,17507,39746,71757,73004,144761,CENTRO / TODOS,01-01-2010,2010
0 - 4,1877,1819,3696,744,696,1440,2621,2515,5136,CENTRO / TODOS,01-01-2010,2010
5 - 9,1530,1480,3010,451,443,894,1981,1923,3904,CENTRO / TODOS,01-01-2010,2010
10 - 14,1291,1273,2564,547,487,1034,1838,1760,3598,CENTRO / TODOS,01-01-2010,2010
15 - 19,1397,1308,2705,769,548,1317,2166,1856,4022,CENTRO / TODOS,01-01-2010,2010
20 - 24,1822,1785,3607,1646,1387,3033,3468,3172,6640,CENTRO / TODOS,01-01-2010,2010
25 - 29,3478,3676,7154,4024,3403,7427,7502,7079,14581,CENTRO / TODOS,01-01-2010,2010
30 - 34,5657,5393,11050,4729,3292,8021,10386,8685,19071,CENTRO / TODOS,01-01-2010,2010
35 - 39,5774,5083,10857,3504,2347,5851,9278,7430,16708,CENTRO / TODOS,01-01-2010,2010
40 - 44,5048,4352,9400,2444,1595,4039,7492,5947,13439,CENTRO / TODOS,01-01-2010,2010
45 - 49,4420,4168,8588,1470,1196,2666,5890,5364,11254,CENTRO / TODOS,01-01-2010,2010
50 - 54,3760,3957,7717,853,839,1692,4613,4796,9409,CENTRO / TODOS,01-01-2010,2010
55 - 59,2951,3376,6327,479,519,998,3430,3895,7325,CENTRO / TODOS,01-01-2010,2010
60 - 64,2701,3100,5801,264,282,546,2965,3382,6347,CENTRO / TODOS,01-01-2010,2010
65 - 69,2177,2757,4934,146,197,343,2323,2954,5277,CENTRO / TODOS,01-01-2010,2010
70 - 74,1588,2508,4096,80,118,198,1668,2626,4294,CENTRO / TODOS,01-01-2010,2010
75 - 79,1722,3074,4796,55,78,133,1777,3152,4929,CENTRO / TODOS,01-01-2010,2010
80 - 84,1318,2899,4217,25,43,68,1343,2942,4285,CENTRO / TODOS,01-01-2010,2010
85 - 89,728,2112,2840,7,21,28,735,2133,2868,CENTRO / TODOS,01-01-2010,2010
90 - 94,216,1019,1235,2,13,15,218,1032,1250,CENTRO / TODOS,01-01-2010,2010
95 - 99,55,308,363,0,3,3,55,311,366,CENTRO / TODOS,01-01-2010,2010
100 o más,8,49,57,0,0,0,8,49,57,CENTRO / TODOS,01-01-2010,2010
No Consta,0,1,1,0,0,0,0,1,1,CENTRO / TODOS,01-01-2010,2010
Total,60525,70690,131215,11998,12217,24215,72523,82907,155430,ARGANZUELA / TODOS,01-01-2010,2010
0 - 4,2923,2961,5884,439,482,921,3362,3443,6805,ARGANZUELA / TODOS,01-01-2010,2010
5 - 9,2986,2791,5777,319,305,624,3305,3096,6401,ARGANZUELA / TODOS,01-01-2010,2010
10 - 14,2565,2436,5001,476,449,925,3041,2885,5926,ARGANZUELA / TODOS,01-01-2010,2010
15 - 19,2473,2405,4878,539,502,1041,3012,2907,5919,ARGANZUELA / TODOS,01-01-2010,2010
20 - 24,2858,2818,5676,897,1081,1978,3755,3899,7654,ARGANZUELA / TODOS,01-01-2010,2010
25 - 29,4276,4169,8445,2034,2134,4168,6310,6303,12613,ARGANZUELA / TODOS,01-01-2010,2010
30 - 34,5183,5278,10461,2218,2185,4403,7401,7463,14864,ARGANZUELA / TODOS,01-01-2010,2010
35 - 39,5240,5597,10837,1847,1533,3380,7087,7130,14217,ARGANZUELA / TODOS,01-01-2010,2010
40 - 44,5453,5769,11222,1284,1193,2477,6737,6962,13699,ARGANZUELA / TODOS,01-01-2010,2010
45 - 49,5184,5876,11060,850,872,1722,6034,6748,12782,ARGANZUELA / TODOS,01-01-2010,2010
50 - 54,4767,5767,10534,496,602,1098,5263,6369,11632,ARGANZUELA / TODOS,01-01-2010,2010
55 - 59,3981,4683,8664,295,376,671,4276,5059,9335,ARGANZUELA / TODOS,01-01-2010,2010
60 - 64,3310,4094,7404,139,205,344,3449,4299,7748,ARGANZUELA / TODOS,01-01-2010,2010
65 - 69,2570,3399,5969,56,120,176,2626,3519,6145,ARGANZUELA / TODOS,01-01-2010,2010
70 - 74,1943,2968,4911,48,76,124,1991,3044,5035,ARGANZUELA / TODOS,01-01-2010,2010
75 - 79,2104,3392,5496,28,54,82,2132,3446,5578,ARGANZUELA / TODOS,01-01-2010,2010
80 - 84,1521,2996,4517,22,24,46,1543,3020,4563,ARGANZUELA / TODOS,01-01-2010,2010
85 - 89,822,2122,2944,8,18,26,830,2140,2970,ARGANZUELA / TODOS,01-01-2010,2010
90 - 94,290,907,1197,2,6,8,292,913,1205,ARGANZUELA / TODOS,01-01-2010,2010
95 - 99,66,224,290,0,0,0,66,224,290,ARGANZUELA / TODOS,01-01-2010,2010
100 o más,9,37,46,1,0,1,10,37,47,ARGANZUELA / TODOS,01-01-2010,2010
No Consta,1,1,2,0,0,0,1,1,2,ARGANZUELA / TODOS,01-01-2010,2010
Total,50723,60969,111692,5371,6705,12076,56094,67674,123768,RETIRO / TODOS,01-01-2010,2010
0 - 4,2292,2209,4501,217,213,430,2509,2422,4931,RETIRO / TODOS,01-01-2010,2010
5 - 9,2196,2155,4351,162,152,314,2358,2307,4665,RETIRO / TODOS,01-01-2010,2010
10 - 14,2090,1977,4067,195,170,365,2285,2147,4432,RETIRO / TODOS,01-01-2010,2010
15 - 19,2165,2227,4392,191,193,384,2356,2420,4776,RETIRO / TODOS,01-01-2010,2010
20 - 24,2573,2633,5206,369,575,944,2942,3208,6150,RETIRO / TODOS,01-01-2010,2010
25 - 29,3588,3539,7127,883,1098,1981,4471,4637,9108,RETIRO / TODOS,01-01-2010,2010
30 - 34,3981,4071,8052,948,1166,2114,4929,5237,10166,RETIRO / TODOS,01-01-2010,2010
35 - 39,3891,3872,7763,788,838,1626,4679,4710,9389,RETIRO / TODOS,01-01-2010,2010
40 - 44,3708,4056,7764,584,680,1264,4292,4736,9028,RETIRO / TODOS,01-01-2010,2010
45 - 49,3718,4255,7973,356,515,871,4074,4770,8844,RETIRO / TODOS,01-01-2010,2010
50 - 54,3601,4563,8164,238,434,672,3839,4997,8836,RETIRO / TODOS,01-01-2010,2010
55 - 59,3398,4479,7877,145,261,406,3543,4740,8283,RETIRO / TODOS,01-01-2010,2010
60 - 64,3377,4406,7783,106,139,245,3483,4545,8028,RETIRO / TODOS,01-01-2010,2010
65 - 69,2974,3826,6800,76,118,194,3050,3944,6994,RETIRO / TODOS,01-01-2010,2010
70 - 74,2203,3115,5318,47,60,107,2250,3175,5425,RETIRO / TODOS,01-01-2010,2010
75 - 79,2145,3396,5541,38,31,69,2183,3427,5610,RETIRO / TODOS,01-01-2010,2010
80 - 84,1583,2938,4521,15,20,35,1598,2958,4556,RETIRO / TODOS,01-01-2010,2010
85 - 89,852,2025,2877,9,22,31,861,2047,2908,RETIRO / TODOS,01-01-2010,2010
90 - 94,297,891,1188,0,12,12,297,903,1200,RETIRO / TODOS,01-01-2010,2010
95 - 99,78,292,370,4,7,11,82,299,381,RETIRO / TODOS,01-01-2010,2010
100 o más,12,44,56,0,0,0,12,44,56,RETIRO / TODOS,01-01-2010,2010
No Consta,1,0,1,0,1,1,1,1,2,RETIRO / TODOS,01-01-2010,2010
Total,56036,71555,127591,8927,11921,20848,64963,83476,148439,SALAMANCA / TODOS,01-01-2010,2010
0 - 4,2513,2400,4913,365,331,696,2878,2731,5609,SALAMANCA / TODOS,01-01-2010,2010
5 - 9,2438,2398,4836,232,246,478,2670,2644,5314,SALAMANCA / TODOS,01-01-2010,2010
10 - 14,2221,2164,4385,278,273,551,2499,2437,4936,SALAMANCA / TODOS,01-01-2010,2010
15 - 19,2344,2285,4629,343,314,657,2687,2599,5286,SALAMANCA / TODOS,01-01-2010,2010
20 - 24,2766,2764,5530,598,921,1519,3364,3685,7049,SALAMANCA / TODOS,01-01-2010,2010
25 - 29,3764,4100,7864,1393,2039,3432,5157,6139,11296,SALAMANCA / TODOS,01-01-2010,2010
30 - 34,4575,4843,9418,1644,2136,3780,6219,6979,13198,SALAMANCA / TODOS,01-01-2010,2010
35 - 39,4421,4742,9163,1262,1604,2866,5683,6346,12029,SALAMANCA / TODOS,01-01-2010,2010
40 - 44,4264,4855,9119,930,1134,2064,5194,5989,11183,SALAMANCA / TODOS,01-01-2010,2010
45 - 49,4231,5011,9242,621,933,1554,4852,5944,10796,SALAMANCA / TODOS,01-01-2010,2010
50 - 54,3923,4995,8918,414,718,1132,4337,5713,10050,SALAMANCA / TODOS,01-01-2010,2010
55 - 59,3570,4785,8355,298,537,835,3868,5322,9190,SALAMANCA / TODOS,01-01-2010,2010
60 - 64,3496,4777,8273,203,315,518,3699,5092,8791,SALAMANCA / TODOS,01-01-2010,2010
65 - 69,3063,4430,7493,134,162,296,3197,4592,7789,SALAMANCA / TODOS,01-01-2010,2010
70 - 74,2284,3886,6170,90,94,184,2374,3980,6354,SALAMANCA / TODOS,01-01-2010,2010
75 - 79,2533,4488,7021,53,56,109,2586,4544,7130,SALAMANCA / TODOS,01-01-2010,2010
80 - 84,1985,3918,5903,37,38,75,2022,3956,5978,SALAMANCA / TODOS,01-01-2010,2010
85 - 89,1125,2775,3900,21,34,55,1146,2809,3955,SALAMANCA / TODOS,01-01-2010,2010
90 - 94,394,1395,1789,6,17,23,400,1412,1812,SALAMANCA / TODOS,01-01-2010,2010
95 - 99,105,449,554,1,15,16,106,464,570,SALAMANCA / TODOS,01-01-2010,2010
100 o más,20,92,112,4,3,7,24,95,119,SALAMANCA / TODOS,01-01-2010,2010
No Consta,1,3,4,0,1,1,1,4,5,SALAMANCA / TODOS,01-01-2010,2010
Total,58703,70451,129154,7283,10471,17754,65986,80922,146908,CHAMARTIN / TODOS,01-01-2010,2010
0 - 4,3098,2915,6013,312,305,617,3410,3220,6630,CHAMARTIN / TODOS,01-01-2010,2010
5 - 9,2922,2768,5690,227,240,467,3149,3008,6157,CHAMARTIN / TODOS,01-01-2010,2010
10 - 14,2732,2489,5221,267,256,523,2999,2745,5744,CHAMARTIN / TODOS,01-01-2010,2010
15 - 19,2799,2639,5438,307,303,610,3106,2942,6048,CHAMARTIN / TODOS,01-01-2010,2010
20 - 24,3078,2932,6010,458,780,1238,3536,3712,7248,CHAMARTIN / TODOS,01-01-2010,2010
